attention_backend,batch_size,block_len,budget,clean_tokens,compiled,compute_accounting,d_ff,d_model,decay_fraction,device,duration_seconds,effective_compute_parameters,effective_train_epochs,evaluation_duration_seconds,gpu,head_dim,learning_rate,local_batch_size,n_head,n_layer,n_params,realized_flops,result_path,seed,sequence_length,size,stable_fraction,status,steps,tokens_per_second,train_dataset_tokens,train_loss,training_duration_seconds,training_flops_per_clean_token,training_tokens_per_second,val_masked_ce_t0.5,val_nelbo,wandb_run_id,wandb_url,warmup_fraction,weight_decay,world_size
,64,4,1000000000000000.0,35782656,,dense_dual_stream_attention_v1,304,112,0.15,cuda,170.85183856077492,2327864.0,0.022277337876696352,,NVIDIA H100 80GB HBM3,16,0.0027,,7,7,1985536,999565880721408,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/2M/lr_2.7e-03/result.json,1337,256,2M,0.7999999999999999,complete,2184,209436.76287844862,1606235727,5.670012474060059,,27934368,,5.459114253520966,5.492489829659462,,,0.05,0.1,
,64,4,1000000000000000.0,16826368,,dense_dual_stream_attention_v1,384,144,0.15,cuda,149.93956050369889,4949064.0,0.010475652930113166,,NVIDIA H100 80GB HBM3,16,0.0027,,9,11,3920256,999297265434624,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/4M/lr_2.7e-03/result.json,1337,256,4M,0.7999999999999999,complete,1027,112221.00387298992,1606235727,6.024643421173096,,59388768,,6.013544142246246,6.059141531586647,,,0.05,0.1,
,64,4,1000000000000000.0,8601600,,dense_dual_stream_attention_v1,560,208,0.15,cuda,108.76403206307441,9677928.0,0.005355129297282777,,NVIDIA H100 80GB HBM3,16,0.0027,,13,12,7979296,998947985817600,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e15/8M/lr_2.7e-03/result.json,1337,256,8M,0.7999999999999999,complete,525,79084.96804358781,1606235727,6.461748123168945,,116135136,,6.468060001730919,6.506194904446602,,,0.05,0.1,
,64,4,3000000000000000.0,259014656,,dense_dual_stream_attention_v1,216,80,0.15,cuda,695.8574574124068,965160.0,0.1612556934490351,,NVIDIA H100 80GB HBM3,16,0.0027,,5,4,965920,2999887024619520,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e15/1M/lr_2.7e-03/result.json,1337,256,1M,0.7999999999999999,complete,15809,372223.72662809934,1606235727,4.824840545654297,,11581920,,4.741425558924675,4.734408110380173,,,0.05,0.1,
,64,4,3000000000000000.0,107380736,,dense_dual_stream_attention_v1,304,112,0.15,cuda,513.292320436798,2327864.0,0.06685241412265013,,NVIDIA H100 80GB HBM3,16,0.0009,,7,7,1985536,2999612995534848,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e15/2M/lr_9.0e-04/result.json,1337,256,2M,0.7999999999999999,complete,6554,209199.96603226376,1606235727,4.968042373657227,,27934368,,4.814733445644379,4.811131969094276,,,0.05,0.1,
,64,4,3000000000000000.0,50511872,,dense_dual_stream_attention_v1,384,144,0.15,cuda,439.22126445919275,4949064.0,0.03144735928290057,,NVIDIA H100 80GB HBM3,16,0.0027,,9,11,3920256,2999837847453696,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e15/4M/lr_2.7e-03/result.json,1337,256,4M,0.7999999999999999,complete,3083,115003.24799209026,1606235727,5.330955505371094,,59388768,,5.155364066362381,5.159150138497353,,,0.05,0.1,
,64,4,3000000000000000.0,25821184,,dense_dual_stream_attention_v1,560,208,0.15,cuda,333.02361444197595,9677928.0,0.016075588138128868,,NVIDIA H100 80GB HBM3,16,0.0009,,13,12,7979296,2998746715521024,/root/shakespeare-dLM/scale_to_climbmix/results/runs/3e15/8M/lr_9.0e-04/result.json,1337,256,8M,0.7999999999999999,complete,1576,77535.59471530787,1606235727,5.613349914550781,,116135136,,5.602436155080795,5.637881815433502,,,0.05,0.1,
,64,4,1e+16,357974016,,dense_dual_stream_attention_v1,304,112,0.15,cuda,1712.8888034094125,2327864.0,0.22286518098348837,,NVIDIA H100 80GB HBM3,16,0.0009,,7,7,1985536,9999777897381888,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e16/2M/lr_9.0e-04/result.json,1337,256,2M,0.7999999999999999,complete,21849,208988.4733249888,1606235727,4.336265563964844,,27934368,,4.45587582886219,4.460290938615799,,,0.05,0.1,
,64,4,1e+16,168378368,,dense_dual_stream_attention_v1,384,144,0.15,cuda,1468.5037444988266,4949064.0,0.10482793102509542,,NVIDIA H100 80GB HBM3,16,0.0009,,9,11,3920256,9999783833370624,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e16/4M/lr_9.0e-04/result.json,1337,256,4M,0.7999999999999999,complete,10277,114659.81522400847,1606235727,4.82861852645874,,59388768,,4.488077700138092,4.4882248640060425,,,0.05,0.1,
,64,4,1e+16,86097920,,dense_dual_stream_attention_v1,560,208,0.15,cuda,1104.4821071391925,9677928.0,0.05360229420423046,,NVIDIA H100 80GB HBM3,16,0.0009,,13,12,7979296,9998993648517120,/root/shakespeare-dLM/scale_to_climbmix/results/runs/1e16/8M/lr_9.0e-04/result.json,1337,256,8M,0.7999999999999999,complete,5255,77953.20489438178,1606235727,4.9117536544799805,,116135136,,4.742197096347809,4.754122629761696,,,0.05,0.1,
cudnn,64,4,100000000000000.0,51658752,True,dense_dual_stream_attention_v1,64,24,0.15,cuda:3,49.31994801200926,161292.0,0.016094773294533512,9.067487115040421,NVIDIA H100 80GB HBM3,24,0.0081,64,1,2,210576,99985721131008,results_refinement/runs/1e14/0.21M/lr_8.1e-03/result.json,1337,256,0.21M,0.7999999999999999,complete,3153,1047421.055420035,3209660121,5.855228900909424,40.252402283251286,1935504,1283370.6578922572,5.751494348049164,5.733588546514511,94ee3l0x,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/94ee3l0x,0.05,0.1,1
cudnn,64,4,100000000000000.0,18579456,True,dense_dual_stream_attention_v1,88,32,0.15,cuda:2,30.79191118106246,448272.0,0.0032166373521114754,9.21619319729507,NVIDIA H100 80GB HBM3,16,0.0027,64,2,7,350464,99943798800384,results_refinement/runs/1e14/0.35M/lr_2.7e-03/result.json,1337,256,0.35M,0.7999999999999999,complete,1134,603387.5549571823,5776049323,6.083227157592773,21.57566854916513,5379264,861130.0251328218,6.056835174560547,6.047417998313904,fohue2x3,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/fohue2x3,0.05,0.1,1
cudnn,64,4,1000000000000000.0,114933760,True,dense_dual_stream_attention_v1,176,64,0.15,cuda:3,54.30176257528365,725024.0,0.035808701129448964,5.601877199485898,NVIDIA H100 80GB HBM3,16,0.0027,64,4,4,725632,999956812922880,results_refinement/runs/1e15/0.73M/lr_2.7e-03/result.json,1337,256,0.73M,0.7999999999999999,complete,7015,2116575.1266481727,3209660121,4.856291770935059,48.69983040355146,8700288,2360044.3584217983,5.058635234832764,5.030784726142883,1fgbyx5t,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/1fgbyx5t,0.05,0.1,1
cudnn,64,4,1000000000000000.0,57737216,True,dense_dual_stream_attention_v1,216,80,0.15,cuda:3,114.32746737636626,1443240.0,0.01798857630508598,25.102507608011365,NVIDIA H100 80GB HBM3,16,0.0027,64,5,7,1198720,999943915438080,results_refinement/runs/1e15/1.20M/lr_2.7e-03/result.json,1337,256,1.20M,0.7999999999999999,complete,3524,505016.1376349654,3209660121,5.421394348144531,89.2248663622886,17318880,647097.8142524064,5.243015363812447,5.219078078866005,cdugjeq0,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/cdugjeq0,0.05,0.1,1
cudnn,64,4,1e+16,449101824,True,dense_dual_stream_attention_v1,256,96,0.15,cuda:2,432.67988348938525,1855536.0,0.13992192539691028,24.889665795490146,NVIDIA H100 80GB HBM3,16,0.0009,64,6,7,1562112,9999895225171968,results_refinement/runs/1e16/1.56M/lr_9.0e-04/result.json,1337,256,1.56M,0.7999999999999999,complete,27411,1037954.0189809116,3209660121,4.650237083435059,407.7901329398155,22266432,1101306.254671644,4.474703729152679,4.480065032839775,h6jnukrk,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/h6jnukrk,0.05,0.1,1
cudnn,64,4,1e+16,245383168,True,dense_dual_stream_attention_v1,304,112,0.15,cuda:2,235.12998608499765,3395896.0,0.07645144929661542,13.476477559655905,NVIDIA H100 80GB HBM3,16,0.0009,64,7,11,2595712,9999548624142336,results_refinement/runs/1e16/2.60M/lr_9.0e-04/result.json,1337,256,2.60M,0.7999999999999999,complete,14977,1043606.441210335,3209660121,4.257889270782471,221.65347610972822,40750752,1107057.61220963,4.49400682747364,4.487562775611877,2zb1v80h,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/2zb1v80h,0.05,0.1,1
cudnn,64,4,300000000000000.0,71368704,True,dense_dual_stream_attention_v1,128,48,0.15,cuda:1,60.97802680358291,350232.0,0.02223559545543545,10.198989545926452,NVIDIA H100 80GB HBM3,16,0.0027,64,3,2,448800,299947247271936,results_refinement/runs/3e14/0.45M/lr_2.7e-03/result.json,1337,256,0.45M,0.7999999999999999,complete,4356,1170400.3514230894,3209660121,5.2118730545043945,50.77897431701422,4202784,1405477.4630626382,5.354751333594322,5.329981192946434,pbkigsrk,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/pbkigsrk,0.05,0.1,1
cudnn,64,4,3000000000000000.0,173883392,True,dense_dual_stream_attention_v1,256,96,0.15,cuda:0,120.17224026657641,1437744.0,0.05417501711858045,20.113188123330474,NVIDIA H100 80GB HBM3,16,0.0027,64,6,5,1340544,2999997642571776,results_refinement/runs/3e15/1.34M/lr_2.7e-03/result.json,1337,256,1.34M,0.7999999999999999,complete,10613,1446951.405867752,3209660121,4.669999122619629,100.058953281492,17252928,1737809.4243182873,4.718143910169601,4.710010305047035,j7c3ud4x,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/j7c3ud4x,0.05,0.1,1
cudnn,64,4,3000000000000000.0,121094144,True,dense_dual_stream_attention_v1,256,96,0.15,cuda:0,171.79366253875196,2064432.0,0.03772802709162613,25.90183844976127,NVIDIA H100 80GB HBM3,16,0.0027,64,6,8,1672896,2999887510634496,results_refinement/runs/3e15/1.67M/lr_2.7e-03/result.json,1337,256,1.67M,0.7999999999999999,complete,7391,704881.3222238886,3209660121,4.996037006378174,145.89170676283538,24773184,830027.6053172315,4.832914724946022,4.8246782422065735,ygz8w64z,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/ygz8w64z,0.05,0.1,1
