budget,size,n_params,steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,compute_accounting,training_flops_per_clean_token,effective_compute_parameters,duration_seconds,result_path
100000000000000.0,0.02M,22488,2669,0.009,1.9618567168712615,1.9634137451648712,87457792,99970553217024,dense_dual_stream_attention_v1,1143072,95256.0,28.782179527916014,results_dense_attention/runs/1e14/0.02M/lr_9.0e-03/result.json
100000000000000.0,0.04M,39968,1856,0.009,1.8922452747821807,1.890158861875534,60817408,99977980280832,dense_dual_stream_attention_v1,1643904,136992.0,21.835679495707154,results_dense_attention/runs/1e14/0.04M/lr_9.0e-03/result.json
100000000000000.0,0.1M,114192,823,0.003,1.962802344560623,1.9595059156417847,26968064,99927680090112,dense_dual_stream_attention_v1,3705408,308784.0,12.937536380253732,results_dense_attention/runs/1e14/0.1M/lr_3.0e-03/result.json
100000000000000.0,0.2M,205504,546,0.009,1.9996957659721375,1.998246395587921,17891328,99825022402560,dense_dual_stream_attention_v1,5579520,464960.0,10.091622765175998,results_dense_attention/runs/1e14/0.2M/lr_9.0e-03/result.json
100000000000000.0,0.4M,393360,318,0.003,2.2100971817970274,2.207091450691223,10420224,99964126494720,dense_dual_stream_attention_v1,9593280,799440.0,8.326703482307494,results_dense_attention/runs/1e14/0.4M/lr_3.0e-03/result.json
100000000000000.0,0.8M,781920,173,0.003,2.4551612734794617,2.4551249623298643,5668864,99688560721920,dense_dual_stream_attention_v1,17585280,1465440.0,6.472257113084197,results_dense_attention/runs/1e14/0.8M/lr_3.0e-03/result.json
300000000000000.0,0.01M,11152,12787,0.027,2.0457835614681246,2.0496589303016663,419004416,299993753714688,dense_dual_stream_attention_v1,715968,59664.0,118.44890597648919,results_dense_attention/runs/3e14/0.01M/lr_2.7e-02/result.json
300000000000000.0,0.02M,22488,8009,0.009,1.9094286799430846,1.909029871225357,262438912,299986572017664,dense_dual_stream_attention_v1,1143072,95256.0,81.30772480648011,results_dense_attention/runs/3e14/0.02M/lr_9.0e-03/result.json
300000000000000.0,0.04M,39968,5569,0.009,1.835457843542099,1.8335794866085053,182484992,299987808288768,dense_dual_stream_attention_v1,1643904,136992.0,64.50245711114258,results_dense_attention/runs/3e14/0.04M/lr_9.0e-03/result.json
300000000000000.0,0.1M,114192,2470,0.003,1.7631201565265655,1.752748477458954,80936960,299904459079680,dense_dual_stream_attention_v1,3705408,308784.0,41.732764814049006,results_dense_attention/runs/3e14/0.1M/lr_3.0e-03/result.json
300000000000000.0,0.2M,205504,1640,0.003,1.7547221302986145,1.7444425165653228,53739520,299840726630400,dense_dual_stream_attention_v1,5579520,464960.0,33.55946592334658,results_dense_attention/runs/3e14/0.2M/lr_3.0e-03/result.json
300000000000000.0,0.4M,393360,954,0.003,1.7907604932785035,1.7836573719978333,31260672,299892379484160,dense_dual_stream_attention_v1,9593280,799440.0,30.09934572223574,results_dense_attention/runs/3e14/0.4M/lr_3.0e-03/result.json
300000000000000.0,0.8M,781920,520,0.003,1.9348643481731416,1.9279813647270203,17039360,299641916620800,dense_dual_stream_attention_v1,17585280,1465440.0,27.77120101172477,results_dense_attention/runs/3e14/0.8M/lr_3.0e-03/result.json
300000000000000.0,1.6M,1591680,289,0.003,2.233978474140167,2.234306204319,9469952,299309878738944,dense_dual_stream_attention_v1,31606272,2633856.0,20.574570544064045,results_dense_attention/runs/3e14/1.6M/lr_3.0e-03/result.json
1000000000000000.0,0.04M,39968,18564,0.027,1.8092344880104065,1.8034877240657807,608305152,999995272593408,dense_dual_stream_attention_v1,1643904,136992.0,213.8534159520641,results_dense_attention/runs/1e15/0.04M/lr_2.7e-02/result.json
1000000000000000.0,0.1M,114192,8235,0.009,1.6771909415721893,1.6628169000148774,269844480,999883894947840,dense_dual_stream_attention_v1,3705408,308784.0,136.81537784822285,results_dense_attention/runs/1e15/0.1M/lr_9.0e-03/result.json
1000000000000000.0,0.2M,205504,5469,0.003,1.6401796162128448,1.6222194254398346,179208192,999895691427840,dense_dual_stream_attention_v1,5579520,464960.0,114.90193975809962,results_dense_attention/runs/1e15/0.2M/lr_3.0e-03/result.json
1000000000000000.0,0.4M,393360,3181,0.003,1.6128121376037599,1.595088106393814,104235008,999955617546240,dense_dual_stream_attention_v1,9593280,799440.0,98.41508597228676,results_dense_attention/runs/1e15/0.4M/lr_3.0e-03/result.json
1000000000000000.0,0.8M,781920,1735,0.001,1.6236506521701812,1.6021855652332306,56852480,999766779494400,dense_dual_stream_attention_v1,17585280,1465440.0,85.58708696998656,results_dense_attention/runs/1e15/0.8M/lr_1.0e-03/result.json
1000000000000000.0,1.6M,1591680,965,0.003,1.72838134765625,1.7145099759101867,31621120,999425719664640,dense_dual_stream_attention_v1,31606272,2633856.0,71.76634628325701,results_dense_attention/runs/1e15/1.6M/lr_3.0e-03/result.json
